Chart	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Chart	2	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	32	12	12	2	0	0	0	8	0	2	0	0	0	0	0	0	0
Chart	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Chart	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Chart	5	1	1	5	0	2	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	4	1	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0
Chart	6	1	1	8	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	7	4	4	1	1	0	0	0	1	2	0	0	3	0	2	2	0
Chart	7	1	2	2	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chart	8	1	1	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chart	9	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
Chart	10	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Chart	11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Chart	12	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chart	13	1	1	1	0	2	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	2	2	2	0	0	0	0	0	1	0	1	0	3	0	0	0	0
Chart	14	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	4	0	0	0	8	0	4	4	0
Chart	15	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	3	0	1	1	0
Chart	16	1	3	3	0	6	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	4	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0
Chart	17	1	1	2	1	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	4	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Chart	18	2	3	11	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	7	2	1	2	0	0	0	0	4	1	3	0	5	3	0	3	0
